,road,id,model_type,name,lat,lon,length,condition,bridge_length
995,N1,1000995,bridge,,21.393333,92.068166,435.0000000000023,C,45.6
996,N1,1000996,bridge,,21.3891108,92.0686938,484.0000000000373,C,45.6
997,N1,1000997,link,,21.3889441,92.0688049,17.99999999997226,,
998,N1,1000998,link,,21.3885274,92.0692771,57.00000000001637,,
999,N1,1000999,bridge,,21.3873052,92.0697771,147.9999999999677,D,11.2
1000,N1,1001000,bridge,,21.3858886,92.0704438,176.00000000004457,B,1.3
1001,N1,1001001,bridge,,21.384583,92.0704993,152.99999999996317,B,1.3
1002,N1,1001002,bridge,,21.3839441,92.0705827,76.00000000002183,B,1.3
1003,N1,1001003,bridge,,21.3826938,92.0710271,151.9999999999868,C,49.3
1004,N1,1001004,bridge,,21.3813049,92.0710827,168.00000000000637,B,1.3
1005,N1,1001005,bridge,,21.3811104,92.0710827,29.999999999972715,B,1.3
1006,N1,1001006,link,,21.3796104,92.0706104,179.00000000003047,,
1007,N1,1001007,bridge,,21.378916,92.0703327,91.00000000000819,B,2.4
1008,N1,1001008,bridge,,21.3775827,92.0703604,153.99999999999636,B,2.4
1009,N1,1001009,bridge,,21.3773882,92.0706104,38.99999999998727,B,2.4
1010,N1,1001010,bridge,,21.3762216,92.0718049,182.00000000001637,B,2.4
1011,N1,1001011,bridge,,21.3752493,92.0727771,164.99999999996362,B,2.4
1012,N1,1001012,bridge,,21.3747771,92.0734993,115.0000000000091,B,2.4
1013,N1,1001013,bridge,,21.3745549,92.0739716,64.99999999999773,B,2.4
1014,N1,1001014,bridge,,21.3742493,92.0755271,173.00000000000182,B,2.4
1015,N1,1001015,link,,21.3742493,92.0756938,16.000000000019554,,
1016,N1,1001016,bridge,,21.3736938,92.0768327,158.00000000001546,C,2.3
1017,N1,1001017,bridge,,21.3731938,92.0773327,82.99999999996999,D,61.3
1018,N1,1001018,bridge,,21.3714993,92.0785549,228.999999999985,C,2.3
1019,N1,1001019,bridge,,21.3698327,92.0796104,206.00000000001728,C,2.3
1020,N1,1001020,bridge,,21.3678882,92.0803327,262.00000000000045,C,2.3
1021,N1,1001021,bridge,,21.3669438,92.0807771,134.00000000001455,C,2.3
1022,N1,1001022,link,,21.3662778,92.0810549,84.00000000000318,,
1023,N1,1001023,link,,21.3657222,92.0812771,63.99999999996453,,
1024,N1,1001024,link,,21.3644167,92.081416,151.00000000001046,,
1025,N1,1001025,link,,21.3615,92.0806382,341.0000000000082,,
1026,N1,1001026,link,,21.3580833,92.0790271,427.99999999999727,,
1027,N1,1001027,link,,21.35775,92.0790271,44.00000000003956,,
1028,N1,1001028,bridge,,21.3571944,92.0791104,63.99999999996453,A,14.1
