,road,id,model_type,name,lat,lon,length,condition,bridge_length
39,N1,1000039,bridge,,23.6559722,90.5743327,306.99999999999864,C,159.52
40,N1,1000040,link,,23.6559167,90.5745271,21.000000000000796,,
41,N1,1000041,bridge,,23.6540556,90.5772771,352.00000000000034,C,159.52
42,N1,1000042,link,,23.6539167,90.5774993,30.000000000001137,,
43,N1,1000043,link,,23.6525278,90.5798882,289.99999999999915,,
44,N1,1000044,bridge,,23.6508889,90.5826382,338.99999999999864,A,20.5
45,N1,1000045,link,,23.6506944,90.5829993,41.00000000000037,,
46,N1,1000046,link,,23.6476108,90.588083,620.000000000001,,
47,N1,1000047,bridge,,23.6449441,90.5899163,353.9999999999992,C,40.5
48,N1,1000048,bridge,,23.6397497,90.5926941,643.0000000000007,B,40.33
49,N1,1000049,link,,23.6396941,90.5927219,3.0000000000001137,,
