,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry
26,26,N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,,bridge,247.99999999999932,1000026,,A,Unknown,9.3,N1LRP012a,N1LRP012,POINT (90.5448886 23.6911108)
27,27,N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,,link,26.000000000001577,1000027,,,Unknown,,N1LRP012b,N1LRP012,POINT (90.5451386 23.6910552)
28,28,N1,11.936,LRP012c,23.6904163,90.5466108,,"SideRoad,Right",,intersection,164.99999999999915,1000028,,,Unknown,,N1LRP012c,N1LRP012,POINT (90.546583 23.6904163)
29,29,N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,,link,587.9999999999992,1000029,,,Unknown,,N1LRP013,N1LRP013,POINT (90.5504167 23.6865274)
30,30,N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,,bridge,148.00000000000148,1000030,,A,Unknown,27.5,N1LRP013a,N1LRP013,POINT (90.5512778 23.6854997)
31,31,N1,13.524,LRP014,23.678166,90.5556111,,KmPost,,link,851.9999999999985,1000031,,,Unknown,,N1LRP014,N1LRP014,POINT (90.5556111 23.678166)
32,32,N1,14.524,LRP015,23.670916,90.5597778,,KmPost,,link,1000.0,1000032,,,Unknown,,N1LRP015,N1LRP015,POINT (90.5597778 23.670916)
33,33,N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,,link,39.00000000000148,1000033,,,Unknown,,N1LRP015a,N1LRP015,POINT (90.5599722 23.6705827)
34,34,N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,,link,960.9999999999985,1000034,,,Unknown,,N1LRP016,N1LRP016,POINT (90.5641111 23.6628333)
35,35,N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",,link,411.00000000000136,1000035,,,Unknown,,N1LRP016a,N1LRP016,POINT (90.5671104 23.6604167)
36,36,N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,,bridge,307.0000000000004,1000036,,B,Unknown,5.55,N1LRP016b,N1LRP016,POINT (90.5697216 23.6591111)
37,37,N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,,link,160.00000000000014,1000037,,,Unknown,,N1LRP016c,N1LRP016,POINT (90.5709993 23.6583056)
38,38,N1,16.524,LRP017,23.6575,90.5719716,,KmPost,,link,121.99999999999989,1000038,,,Unknown,,N1LRP017,N1LRP017,POINT (90.5719716 23.6575)
39,39,N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,,bridge,306.99999999999864,1000039,,C,Unknown,159.52,N1LRP017a,N1LRP017,POINT (90.5743327 23.6559722)
40,40,N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,,link,21.000000000000796,1000040,,,Unknown,,N1LRP017b,N1LRP017,POINT (90.5745271 23.6559167)
