,road,lrp,id,lat,lon,condition,bridge_length,Truck number,Truck percentage
146,N1,LRP059,1000143,23.5056389,90.8966108,NaN,NaN,12199.0,0.5317553724772242
147,N1,LRP060,1000144,23.5062778,90.9063889,NaN,NaN,12199.0,0.5317553724772242
148,N1,LRP060a,1000145,23.50575,90.91525,NaN,NaN,12199.0,0.5317553724772242
149,N1,LRP061,1000146,23.5057222,90.9160278,NaN,NaN,12199.0,0.5317553724772242
150,N1,LRP062,1000147,23.5055278,90.9257216,NaN,NaN,12199.0,0.5317553724772242
151,N1,LRP063,1000148,23.5042778,90.9354163,NaN,NaN,12199.0,0.5317553724772242
152,N1,LRP063a,1000149,23.5042778,90.9353886,NaN,NaN,12199.0,0.5317553724772242
153,N1,LRP063b,1000150,23.5038611,90.9371386,NaN,NaN,12199.0,0.5317553724772242
154,N1,LRP063c,1000151,23.5028611,90.9412774,NaN,NaN,12199.0,0.5317553724772242
155,N1,LRP064,1000152,23.5020278,90.9448886,NaN,NaN,12199.0,0.5317553724772242
156,N1,LRP065,1000153,23.4995274,90.9541667,NaN,NaN,12199.0,0.5317553724772242
157,N1,LRP066,1000154,23.4986386,90.9651111,NaN,NaN,12199.0,0.5317553724772242
158,N1,LRP066a,1000155,23.4980552,90.9660278,NaN,NaN,12199.0,0.5317553724772242
159,N1,LRP067,1000156,23.4972774,90.9674716,NaN,NaN,12199.0,0.5317553724772242
160,N1,LRP068,1000157,23.4942219,90.9765549,NaN,NaN,12199.0,0.5317553724772242
161,N1,LRP068a,1000158,23.4951386,90.9829993,A,4.5,12199.0,0.5317553724772242
162,N1,LRP069,1000159,23.4942497,90.985833,NaN,NaN,12199.0,0.5317553724772242
163,N1,LRP070,1000160,23.4911386,90.9950274,NaN,NaN,12199.0,0.5317553724772242
164,N1,LRP070a,1000161,23.4914441,90.9936108,NaN,NaN,12199.0,0.5317553724772242
165,N1,LRP070b,1000162,23.4867774,91.0128056,NaN,NaN,12945.0,0.46846162197372704
166,N1,LRP071,1000163,23.4896108,91.0043056,NaN,NaN,12945.0,0.46846162197372704
167,N1,LRP072,1000164,23.4893052,91.0112778,NaN,NaN,12945.0,0.46846162197372704
168,N1,LRP072a,1000165,23.4890552,91.0120278,C,23.1,12945.0,0.46846162197372704
169,N1,LRP072b,1000166,23.4889441,91.01225,NaN,NaN,12945.0,0.46846162197372704
170,N1,LRP073,1000167,23.488333,91.0140833,NaN,NaN,12945.0,0.46846162197372704
171,N1,LRP074,1000168,23.4846386,91.0229438,NaN,NaN,12945.0,0.46846162197372704
172,N1,LRP075,1000169,23.4827771,91.0321382,NaN,NaN,12945.0,0.46846162197372704
173,N1,LRP075a,1000170,23.481166,91.0404441,B,4.6,12945.0,0.46846162197372704
174,N1,LRP076,1000171,23.4814716,91.0419719,NaN,NaN,12945.0,0.46846162197372704
175,N1,LRP076a,1000172,23.4820827,91.0504167,B,4.6,12945.0,0.46846162197372704
176,N1,LRP077,1000173,23.4821382,91.0516944,NaN,NaN,12945.0,0.46846162197372704
177,N1,LRP077a,1000174,23.4813327,91.0586111,NaN,NaN,12945.0,0.46846162197372704
178,N1,LRP077a,1000174,23.4813327,91.0586111,NaN,NaN,12945.0,0.46846162197372704
