,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
91,6609,N509,104.69,LRPE,26.4069444,88.9238327,,Others,,intersection,689.9999999999977,,,Unknown,,N509LRPE,N509LRPE,POINT (88.9238327 26.4069444),1006587,potential intersection,0.1153416068433232
92,6610,N510,0.0,LRPS,24.8480552,89.3726938,,Others,,intersection,,,,Unknown,,N510LRPS,N510LRPS,POINT (89.3726938 24.8480552),1006655,potential intersection,0.00017786629810735623
93,6613,N510,2.784,LRPE,24.8417774,89.3472219,,Others,,intersection,783.9999999999998,,,Unknown,,N510LRPE,N510LRPE,POINT (89.3472219 24.8417774),1005229,potential intersection,0.00018639863196287136
94,6614,N511,0.0,LRPS,23.8508611,90.3410552,,Others,,intersection,,,,Unknown,,N511LRPS,N511LRPS,POINT (90.3410552 23.8508611),1005909,potential intersection,0.0
95,6635,N511,9.462,LRPE,23.8976108,90.3313327,,Others,,intersection,214.0000000000004,,,Unknown,,N511LRPE,N511LRPE,POINT (90.3313327 23.8976108),1004022,potential intersection,0.00013892001295409703
96,6636,N513,0.0,LRPS,23.8942774,89.6485274,,Others,,intersection,,,,Unknown,,N513LRPS,N513LRPS,POINT (89.6485274 23.8942774),1004931,potential intersection,0.00010258047884542337
97,6648,N513,11.88,LRPE,23.8146944,89.7128333,,Others,,intersection,880.0000000000008,,,Unknown,,N513LRPE,N513LRPE,POINT (89.7128333 23.8146944),1007425,potential intersection,0.09632589137801824
98,6649,N514,0.0,LRPS,24.8158333,89.3797216,,Others,,intersection,,,,Unknown,,N514LRPS,N514LRPS,POINT (89.3797216 24.8158333),1005219,potential intersection,0.0008333000000000368
99,6667,N514,8.67,LRPE,24.8891663,89.3602778,,Others,,intersection,484.99999999999943,,,Unknown,,N514LRPE,N514LRPE,POINT (89.3602778 24.8891663),1005245,potential intersection,0.00018630920535869149
100,6668,N515,0.0,LRPS,24.8057778,89.3836941,,Others,,intersection,,,,Unknown,,N515LRPS,N515LRPS,POINT (89.3836941 24.8057778),1005216,potential intersection,0.00012423594487556033
101,6718,N515,16.0,LRPE,24.8888052,89.36025,,Others,,intersection,163.99999999999972,,,Unknown,,N515LRPE,N515LRPE,POINT (89.36025 24.8888052),1005245,potential intersection,0.00020229090439081258
102,6719,N516,0.0,LRPS,24.838833,88.9114167,,Others,,intersection,,,,Unknown,,N516LRPS,N516LRPS,POINT (88.9114167 24.838833),1015250,potential intersection,0.0
103,6750,N516,8.0,LRPE,24.8146111,88.9809993,,Others,,intersection,125.0,,,Unknown,,N516LRPE,N516LRPE,POINT (88.9809993 24.8146111),1015218,potential intersection,0.00011787472163862317
104,6751,N517,0.0,LRPS,25.7095833,89.2610278,,Others,,intersection,,,,Unknown,,N517LRPS,N517LRPS,POINT (89.2610278 25.7095833),1005429,potential intersection,0.00011787472162856856
